IRIS;REVDISMED;MEN_TOT_2019;MEN_1PERS_2019;FAM_TOT_2019;FAM_2ENF_2019;FAM_3ENF_2019;FAM_4ENFPLUS_2019;PART_FAM_2ENF_2019;ACCESS;logaccessstand;trv50stand;distancestand;CAH_4;immo_2017;immo_2018;immo_2019;immo_2020;immo_2021;immo_nb_annees;immo_moy;immo_ECTYPE;immo_ECTYPE/MOY;immo_qualite
013790000;22240;304,1994751;74,80314961;229,3963255;74,80314961;19,94750656;4,98687664;32,78688525;825;-0,779218244;1,441653563;1,9669819;1;2091;1691;2113;2413;2693;5;2200,2;376,4800127;0,171111723;oui
013810000;22830;344,6680695;72,55942698;272,2358143;89,87388198;24,60896831;0;33,20314105;71;-1,701405476;0,590821891;1,975744841;1;2156;1937;2057;2353;2922;5;2285;387,337708;0,16951322;oui
013820000;25090;110,076882;20,92457565;79,1366553;28,89993543;4,655292748;0;33,53469457;24;-2,109211918;1,747952965;1,121644227;1;2259;2567;2325;2628;2990;5;2553,8;289,4852328;0,1133547;oui
013830000;21970;591,5126172;154,737515;436,8178113;105,7166241;35,31023136;15,20250292;26,40993182;321;-1,134129264;1,067287627;2,256073869;1;1591;2229;2238;2662;2239;5;2191,8;383,338884;0,174896835;oui
013890000;23000;713,0637553;200,650552;511,8379045;144,944132;38,64652507;4,429521708;26,38922456;428;-1,02596424;1,611819898;1,495534979;1;2054;2167;3576;2485;2817;5;2619,8;611,6646957;0,23347763;oui
013900000;23830;505;160;345;105;20;5;25,74257426;6859;0,017099481;0,760988225;1,510790947;2;2706;2361;3151;3093;3066;5;2875,4;336,503046;0,117028256;oui
013930000;25030;199,6465877;40,09865479;149,3902386;57,29162007;10,56747226;0;35,81164633;2665;-0,338343689;1,884086033;1,680715932;1;2157;2202;1766;3610;3200;5;2587;779,3368976;0,301251217;oui
013980000;24680;537,1164687;110,9913993;431,4901119;112,2449916;26,82521286;10,77032859;27,62131611;406;-1,045805143;1,611819898;0,866385454;1;2350;2716;2317;2585;3391;5;2671,8;434,7915593;0,162733573;oui
014180000;29970;389,9335578;52,84894065;337,0846172;78,71189551;28,87815376;4,677702255;28,79150801;246;-1,234183291;-0,225976515;0,010182836;2;2531;2962;3209;4183;3081;5;3193,2;609,2012804;0,190780809;oui
014230000;26110;412,9643767;51,95864653;350,7106055;92,54071494;30,71269443;5,080671175;31,87084186;64;-1,740431831;1,339553763;0,560706263;1;2436;2797;3351;2694;3531;5;2961,8;461,1959453;0,15571475;oui
014240000;30170;676,9694593;122,6393948;559,2356403;166,7895769;24,52787896;4,905575792;28,77697842;226;-1,266065776;0,420655556;0,053334381;2;3122;3353;3098;3453;3879;5;3381;316,6788594;0,093664259;oui
014270000;22100;3005;1080;1910;440;195;55;23,07692308;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
014270101;22100;855;170;680;165;75;35;32,35294118;3325;-0,255150459;1,203420695;0,486376186;1;2837;2553;2752;3039;3267;5;2889,6;273,7476941;0,094735498;oui
014270102;22100;2150;910;1230;275;120;20;19,39252336;6535;-0,001094322;0,692921691;0,359652997;2;2709;2710;2608;2603;3064;5;2738,8;189,0917767;0,069041835;oui
014340000;24210;175;30;150;50;5;0;30,55555556;585;-0,908472238;0,318555755;1,425951563;2;2492;2242;2950;2505;3260;5;2689,8;408,2379208;0,151772593;oui
014430000;23010;2173,693312;767,8667236;1375,135816;291,6495632;97,51948013;14,31934561;18,82818062;2919;-0,304114851;0,148389421;1,263287543;2;2286;2413;3138;2758;2946;5;2708,2;356,7747188;0,131738689;oui
014460000;24550;589,9670189;115,5090276;469,0708056;130,9083465;39,78944951;4,828088769;30,02599044;120;-1,504082482;1,611819898;1,216584309;1;2630;2234;3440;2972;2490;5;2753,2;467,3298621;0,169740615;oui
014500000;25610;1438,702431;303,637779;1139,960153;280,8104357;80,04813955;9,79100235;25,67540236;620;-0,886624463;0,760988225;1,623145389;2;2641;2675;2687;2871;2717;5;2718,2;89,65043224;0,032981544;oui
380100000;25000;275;65;215;45;10;5;21,42857143;41;-1,907863456;1,781986232;1,641946837;1;1989;2552;3023;2614;3040;5;2643,6;429,7805254;0,162573962;oui
380110000;26780;431,0737372;88,55144061;337,4064911;98,96066253;14,53908986;0;26,64576568;133;-1,465409333;1,169387428;0,745603349;1;2657;2595;3388;3300;3259;5;3039,8;381,2409999;0,125416475;oui
