puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
2970;20;30;37;-60;-1;e..;3184;45.80;4.71;69890
2960;20;20;37;40;-2;"watt&amp;amp;home";3288;45.35;5.53;38140
1900;15;20;;45;-5;Evasol;1982;45.32;4.61;42220
2800;20;25;37;Sud;-2;lumensol;3316;45.22;5.79;38240
3000;22;25;37;50;-2;ENERCOS technologies;3279;45.21;5.77;38240
2800;30;25;;60;;ASOLTEC;0;45.34;5.57;38500
3000;16;35;37;Sud;-2;a2 energie;3477;46.11;4.69;69220
4770;30;35;36;-80;3;ARTEIS SOLAIRE;4632;45.70;5.21;38460
2996;25;20;;Sud;;a2 energie;0;45.82;4.71;69890
2100;20;15;36;Sud;1;UNION ENERGIE;2432;45.49;5.09;38440
2960;21;20;;-90;;EDF ENR;0;45.87;5.22;1800
2880;30;35;;5;;ENERCOS technologies;0;45.53;4.61;42800
2940;20;30;35;-45;-7;"H&amp;eacute;lios &amp;eacute;nergies vienne";3252;45.33;5.47;38140
3280;16;25;;-90;;france energies renouvelables;0;45.89;5.29;1150
3000;16;25;36;-25;1;123 Solaire;3395;46.24;5.03;1660
2996;29;20;35;-5;-2;"B&amp;amp;G MONTEILLER";3249;45.52;4.50;42320
2996;18;25;;-40;2;A l Eau Solaire;3260;45.74;5.24;38460
2940;20;20;36;25;1;TRYBA SOLAR;3428;45.53;5.03;38780
2992;20;20;37;15;1;"Soleil en T&ecirc;te";3456;45.90;4.84;69730
2960;24;25;36;-10;-2;solstice concept;3357;45.54;4.18;42450
2960;20;30;37;-45;-2;WATT HOME;3362;45.39;5.47;38140
2960;20;30;;-15;-1;AWE Climatisation;3336;45.84;4.72;69380
2960;20;25;38;-40;-13;SWEETAIR ENERGIE;3255;45.30;5.90;38660
2940;22;40;;-15;;Eo;0;45.71;4.68;69126
2975;25;30;;Sud;-1;cervin inovation;3336;46.07;4.89;1990
36630;250;20;;-20;-6;moi;42660;45.74;3.99;42130
2940;23;20;37;85;1;VMA ENVIRONNEMENT;2971;45.93;4.81;1600
2880;24;20;37;45;-9;SOL R ELEC;2987;45.27;5.86;38190
2618;23;50;36;-5;6;NOVASOL;3015;45.29;5.63;38340
3000;16;20;;15;;ENERCOS technologies;0;45.53;4.57;42800
2940;16;20;;75;;ENERCOS technologies;0;45.71;4.81;69600
2640;24;30;;Sud;-1;Gelhak Energy;3031;45.75;4.92;69120
2960;18;25;36;65;1;Vision Energie;3135;45.58;5.31;38300
2625;20;20;37;-5;1;COMEL;3033;45.91;4.82;1600
2992;22;45;;20;;S comme solaire;0;45.63;5.56;38630
2700;21;15;37;-90;-2;Goncelinoise;2698;45.35;5.52;38140
2925;20;45;37;Sud;-3;CHERBLAND;3377;45.81;3.99;42260
3000;22;35;;-5;;Pienenergie;0;45.53;5.58;38490
2996;24;25;35;55;7;"SES Solaire Energies Syst&egrave;mes";3274;45.53;5.31;38300
3010;21;35;;5;;FL Energie;0;45.48;4.23;42170
2940;17;20;37;-30;1;123 Solaire;3363;45.79;4.99;69330
2996;18;20;37;-5;-1;123 Solaire (cessation 03/2012);3487;45.82;4.79;69370
3000;20;25;36;Sud;3;SADEJA SOLAIRE;3392;46.21;5.32;1250
600;20;20;;-5;;abs energy;0;45.90;4.81;1600
3250;22;20;35;45;9;APE SUD;3608;45.64;4.83;69360
8840;58;15;35;45;-8;ASOLTEC;9351;45.60;4.50;69590
2880;21;35;36;20;-3;SWEETAIR ENERGIE;3255;45.45;5.65;38620
2800;21;20;36;0;-3;********************************;3145;45.40;4.09;42380
2820;20;20;37;-20;-1;Entretien Du Forez;3206;45.74;4.12;42110
80500;600;20;;-5;;TCE SOLAR;0;44.81;5.94;38970
2990;21;20;37;-25;-1;Soleris;3426;45.21;5.79;38240
2880;43;20;36;Sud;-7;SOLAIRE ATTITUDE;3289;45.17;5.33;38160
3000;25;25;36;-5;-9;a2 energie;3354;45.39;5.60;38500
3120;22;25;36;-110;-6;LOGISUN;2819;45.68;4.82;69540
2940;23;15;37;-25;-4;Bio Sol Air Energie;3329;45.25;5.83;38330
